ChemicalName,ChemicalID,PathwayName,PathwayID,PValue,CorrectedPValue,TargetMatchQty,TargetTotalQty,BackgroundMatchQty,BackgroundTotalQty
10074-G5,C534883,,Cyclin A:Cdk2-associated events at S phase entry,REACT:R-HSA-69656,1.45e-05,0.00116,2,4,71
10074-G5,C534883,,Cyclin E associated events during G1/S transition,REACT:R-HSA-69202,1.49e-05,0.00119,2,4,72
10074-G5,C534883,,G1/S Transition,REACT:R-HSA-69206,4.08e-05,0.00327,2,4,119
10074-G5,C534883,,Mitotic G1-G1/S phases,REACT:R-HSA-453279,5.9e-05,0.00472,2,4,143
10074-G5,C534883,,Pathways in cancer,KEGG:hsa05200,2.61e-06,0.000209,3,4,395
10074-G5,C534883,,Small cell lung cancer,KEGG:hsa05222,2.03e-05,0.00162,2,4,84
10074-G5,C534883,,S Phase,REACT:R-HSA-69242,4.88e-05,0.0039,2,4,130
10074-G5,C534883,,Transcriptional misregulation in cancer,KEGG:hsa05202,9.25e-05,0.0074,2,4,179
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,,Cholinergic synapse,KEGG:hsa04725,3.53e-11,2.93e-09,4,4,112
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,,Interaction between L1 and Ankyrins,REACT:R-HSA-445095,2.54e-06,0.000211,2,4,30
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,,L1CAM interactions,REACT:R-HSA-373760,2.94e-05,0.00244,2,4,101
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,,Neuronal System,REACT:R-HSA-112316,1.8e-06,0.000149,3,4,349
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,,Potassium Channels,REACT:R-HSA-1296071,4.16e-08,3.45e-06,3,4,100
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,,Voltage gated Potassium channels,REACT:R-HSA-1296072,3.41e-09,2.83e-07,3,4,44
"10,12-octadecadienoic acid",C094849,,AMPK signaling pathway,KEGG:hsa04152,2.08e-05,0.00164,2,3,120
"10,12-octadecadienoic acid",C094849,,"Fatty acid, triacylglycerol, and ketone body metabolism",REACT:R-HSA-535734,9.2e-05,0.00727,2,3,252
"10,12-octadecadienoic acid",C094849,,Huntington's disease,KEGG:hsa05016,5.39e-05,0.00426,2,3,193
"10,12-octadecadienoic acid",C094849,,PPAR signaling pathway,KEGG:hsa03320,7.45e-06,0.000589,2,3,72
10-(2-pyrazolylethoxy)camptothecin,C534422,,Alzheimer's disease,KEGG:hsa05010,1.41e-05,0.0013,2,2,171
10-(2-pyrazolylethoxy)camptothecin,C534422,,Apoptosis,KEGG:hsa04210,9.2e-06,0.000846,2,2,138
10-(2-pyrazolylethoxy)camptothecin,C534422,,Apoptosis,REACT:R-HSA-109581,1.43e-05,0.00132,2,2,172
10-(2-pyrazolylethoxy)camptothecin,C534422,,Apoptosis - multiple species,KEGG:hsa04215,5.14e-07,4.73e-05,2,2,33
10-(2-pyrazolylethoxy)camptothecin,C534422,,Apoptotic cleavage of cellular proteins,REACT:R-HSA-111465,7.21e-07,6.63e-05,2,2,39
10-(2-pyrazolylethoxy)camptothecin,C534422,,Apoptotic execution  phase,REACT:R-HSA-75153,1.34e-06,0.000123,2,2,53
10-(2-pyrazolylethoxy)camptothecin,C534422,,Caspase activation via extrinsic apoptotic signalling pathway,REACT:R-HSA-5357769,3.68e-07,3.38e-05,2,2,28
10-(2-pyrazolylethoxy)camptothecin,C534422,,Caspase-mediated cleavage of cytoskeletal proteins,REACT:R-HSA-264870,7.59e-08,6.98e-06,2,2,13
10-(2-pyrazolylethoxy)camptothecin,C534422,,Hepatitis B,KEGG:hsa05161,1e-05,0.000922,2,2,144
10-(2-pyrazolylethoxy)camptothecin,C534422,,Herpes simplex infection,KEGG:hsa05168,1.66e-05,0.00152,2,2,185
10-(2-pyrazolylethoxy)camptothecin,C534422,,Huntington's disease,KEGG:hsa05016,1.8e-05,0.00166,2,2,193
10-(2-pyrazolylethoxy)camptothecin,C534422,,IL-17 signaling pathway,KEGG:hsa04657,4.16e-06,0.000383,2,2,93
10-(2-pyrazolylethoxy)camptothecin,C534422,,Intrinsic Pathway for Apoptosis,REACT:R-HSA-109606,9.2e-07,8.47e-05,2,2,44
10-(2-pyrazolylethoxy)camptothecin,C534422,,Legionellosis,KEGG:hsa05134,1.44e-06,0.000133,2,2,55
10-(2-pyrazolylethoxy)camptothecin,C534422,,Non-alcoholic fatty liver disease (NAFLD),KEGG:hsa04932,1.07e-05,0.000987,2,2,149
10-(2-pyrazolylethoxy)camptothecin,C534422,,p53 signaling pathway,KEGG:hsa04115,2.28e-06,0.00021,2,2,69
10-(2-pyrazolylethoxy)camptothecin,C534422,,Pathways in cancer,KEGG:hsa05200,7.57e-05,0.00697,2,2,395
10-(2-pyrazolylethoxy)camptothecin,C534422,,Platinum drug resistance,KEGG:hsa01524,2.56e-06,0.000235,2,2,73
10-(2-pyrazolylethoxy)camptothecin,C534422,,Programmed Cell Death,REACT:R-HSA-5357801,1.48e-05,0.00136,2,2,175
10-(2-pyrazolylethoxy)camptothecin,C534422,,TNF signaling pathway,KEGG:hsa04668,5.62e-06,0.000517,2,2,108
10-(2-pyrazolylethoxy)camptothecin,C534422,,Toxoplasmosis,KEGG:hsa05145,6.16e-06,0.000566,2,2,113
10-(2-pyrazolylethoxy)camptothecin,C534422,,Tuberculosis,KEGG:hsa05152,1.53e-05,0.00141,2,2,178
10-(2-pyrazolylethoxy)camptothecin,C534422,,Viral carcinogenesis,KEGG:hsa05203,1.96e-05,0.0018,2,2,201
10-(2-pyrazolylethoxy)camptothecin,C534422,,Viral myocarditis,KEGG:hsa05416,1.61e-06,0.000148,2,2,58
103D5R,C496879,,Activated TLR4 signalling,REACT:R-HSA-166054,5.52e-07,0.000212,3,7,115
103D5R,C496879,,Activation of BH3-only proteins,REACT:R-HSA-114452,9.48e-06,0.00364,2,7,31
103D5R,C496879,,Activation of the AP-1 family of transcription factors,REACT:R-HSA-450341,2.7e-10,1.04e-07,3,7,10
103D5R,C496879,,Acute myeloid leukemia,KEGG:hsa05221,5.89e-08,2.26e-05,3,7,55
103D5R,C496879,,Adipocytokine signaling pathway,KEGG:hsa04920,1.18e-07,4.51e-05,3,7,69
103D5R,C496879,,Adrenergic signaling in cardiomyocytes,KEGG:hsa04261,1.09e-06,0.000418,3,7,144
103D5R,C496879,,Advanced glycosylation endproduct receptor signaling,REACT:R-HSA-879415,1.59e-06,0.000611,2,7,13
103D5R,C496879,,AGE-RAGE signaling pathway in diabetic complications,KEGG:hsa04933,9.38e-13,3.6e-10,5,7,99
103D5R,C496879,,Aldosterone-regulated sodium reabsorption,KEGG:hsa04960,1.36e-05,0.00521,2,7,37
103D5R,C496879,,Apelin signaling pathway,KEGG:hsa04371,9.57e-07,0.000367,3,7,138
103D5R,C496879,,Apoptosis,KEGG:hsa04210,2.85e-09,1.1e-06,4,7,138
103D5R,C496879,,Autophagy - animal,KEGG:hsa04140,3.46e-12,1.33e-09,5,7,128
103D5R,C496879,,B cell receptor signaling pathway,KEGG:hsa04662,1.23e-07,4.72e-05,3,7,70
103D5R,C496879,,Bladder cancer,KEGG:hsa05219,2.4e-08,9.2e-06,3,7,41
103D5R,C496879,,Breast cancer,KEGG:hsa05224,1.09e-06,0.000418,3,7,144
103D5R,C496879,,cAMP signaling pathway,KEGG:hsa04024,1.22e-08,4.69e-06,4,7,198
103D5R,C496879,,Cellular responses to stress,REACT:R-HSA-2262752,1.97e-09,7.56e-07,5,7,451
103D5R,C496879,,Cellular Senescence,REACT:R-HSA-2559583,2.75e-06,0.00106,3,7,196
103D5R,C496879,,Central carbon metabolism in cancer,KEGG:hsa05230,1.08e-13,4.16e-11,5,7,65
103D5R,C496879,,cGMP-PKG signaling pathway,KEGG:hsa04022,1.58e-06,0.000607,3,7,163
103D5R,C496879,,Chagas disease (American trypanosomiasis),KEGG:hsa05142,8.4e-10,3.23e-07,4,7,102
103D5R,C496879,,Chemokine signaling pathway,KEGG:hsa04062,2.2e-06,0.000845,3,7,182
103D5R,C496879,,Choline metabolism in cancer,KEGG:hsa05231,9.38e-13,3.6e-10,5,7,99
103D5R,C496879,,Cholinergic synapse,KEGG:hsa04725,5.1e-07,0.000196,3,7,112
103D5R,C496879,,Chronic myeloid leukemia,KEGG:hsa05220,1.28e-07,4.92e-05,3,7,71
103D5R,C496879,,Colorectal cancer,KEGG:hsa05210,9.67e-11,3.71e-08,4,7,60
103D5R,C496879,,Cytokine Signaling in Immune system,REACT:R-HSA-1280215,2.67e-08,1.02e-05,5,7,760
103D5R,C496879,,DAP12 interactions,REACT:R-HSA-2172127,1.86e-05,0.00713,3,7,371
103D5R,C496879,,DAP12 signaling,REACT:R-HSA-2424491,1.64e-05,0.0063,3,7,356
103D5R,C496879,,Developmental Biology,REACT:R-HSA-1266738,1.04e-05,0.004,4,7,1076
103D5R,C496879,,Diseases of signal transduction,REACT:R-HSA-5663202,1.83e-05,0.00701,3,7,369
103D5R,C496879,,Dorso-ventral axis formation,KEGG:hsa04320,7.71e-06,0.00296,2,7,28
103D5R,C496879,,Downstream signaling events of B Cell Receptor (BCR),REACT:R-HSA-1168372,2.79e-06,0.00107,3,7,197
103D5R,C496879,,Downstream signal transduction,REACT:R-HSA-186763,1.59e-05,0.00609,3,7,352
103D5R,C496879,,EGFR tyrosine kinase inhibitor resistance,KEGG:hsa01521,2.98e-10,1.14e-07,4,7,79
103D5R,C496879,,Endocrine resistance,KEGG:hsa01522,6.3e-10,2.42e-07,4,7,95
103D5R,C496879,,Endometrial cancer,KEGG:hsa05213,4.4e-08,1.69e-05,3,7,50
103D5R,C496879,,ErbB signaling pathway,KEGG:hsa04012,4.2e-10,1.61e-07,4,7,86
103D5R,C496879,,ERK/MAPK targets,REACT:R-HSA-198753,4.71e-06,0.00181,2,7,22
103D5R,C496879,,ERKs are inactivated,REACT:R-HSA-202670,1.59e-06,0.000611,2,7,13
103D5R,C496879,,Estrogen signaling pathway,KEGG:hsa04915,3.41e-07,0.000131,3,7,98
103D5R,C496879,,Fc epsilon receptor (FCERI) signaling,REACT:R-HSA-2454202,1.63e-07,6.27e-05,4,7,378
103D5R,C496879,,Fc epsilon RI signaling pathway,KEGG:hsa04664,1.52e-10,5.83e-08,4,7,67
103D5R,C496879,,FCERI mediated MAPK activation,REACT:R-HSA-2871796,7.26e-06,0.00279,3,7,271
103D5R,C496879,,Fc gamma R-mediated phagocytosis,KEGG:hsa04666,2.63e-07,0.000101,3,7,90
103D5R,C496879,,Fluid shear stress and atherosclerosis,KEGG:hsa05418,1.04e-06,0.000401,3,7,142
103D5R,C496879,,Focal adhesion,KEGG:hsa04510,3.23e-11,1.24e-08,5,7,199
103D5R,C496879,,FoxO signaling pathway,KEGG:hsa04068,2.39e-09,9.16e-07,4,7,132
103D5R,C496879,,GAB1 signalosome,REACT:R-HSA-180292,7.63e-07,0.000293,3,7,128
103D5R,C496879,,Glioma,KEGG:hsa05214,9.35e-08,3.59e-05,3,7,64
103D5R,C496879,,GnRH signaling pathway,KEGG:hsa04912,2.81e-07,0.000108,3,7,92
103D5R,C496879,,Golgi Cisternae Pericentriolar Stack Reorganization,REACT:R-HSA-162658,1.86e-06,0.000713,2,7,14
103D5R,C496879,,Growth hormone receptor signaling,REACT:R-HSA-982772,6.12e-06,0.00235,2,7,25
103D5R,C496879,,Hemostasis,REACT:R-HSA-109582,1.32e-06,0.000508,4,7,639
103D5R,C496879,,Hepatitis B,KEGG:hsa05161,3.39e-09,1.3e-06,4,7,144
103D5R,C496879,,Hepatitis C,KEGG:hsa05160,2.31e-09,8.88e-07,4,7,131
103D5R,C496879,,HIF-1 signaling pathway,KEGG:hsa04066,7.34e-16,2.82e-13,6,7,101
103D5R,C496879,,HTLV-I infection,KEGG:hsa05166,6.12e-06,0.00235,3,7,256
103D5R,C496879,,IGF1R signaling cascade,REACT:R-HSA-2428924,9.65e-06,0.0037,3,7,298
103D5R,C496879,,IL-17 signaling pathway,KEGG:hsa04657,2.91e-07,0.000112,3,7,93
103D5R,C496879,,Immune System,REACT:R-HSA-168256,6.94e-08,2.66e-05,6,7,2118
103D5R,C496879,,Influenza A,KEGG:hsa05164,7.1e-09,2.73e-06,4,7,173
103D5R,C496879,,Innate Immune System,REACT:R-HSA-168249,2.18e-05,0.00839,4,7,1298
103D5R,C496879,,Insulin receptor signalling cascade,REACT:R-HSA-74751,9.55e-06,0.00367,3,7,297
103D5R,C496879,,Insulin resistance,KEGG:hsa04931,4.44e-07,0.000171,3,7,107
103D5R,C496879,,Insulin signaling pathway,KEGG:hsa04910,2.85e-09,1.1e-06,4,7,138
103D5R,C496879,,Interleukin-4 and 13 signaling,REACT:R-HSA-6785807,5.38e-07,0.000207,3,7,114
103D5R,C496879,,Intrinsic Pathway for Apoptosis,REACT:R-HSA-109606,1.93e-05,0.0074,2,7,44
103D5R,C496879,,IRS-mediated signalling,REACT:R-HSA-112399,9.27e-06,0.00356,3,7,294
103D5R,C496879,,IRS-related events triggered by IGF1R,REACT:R-HSA-2428928,9.65e-06,0.0037,3,7,298
103D5R,C496879,,MAP2K and MAPK activation,REACT:R-HSA-5674135,1.51e-05,0.0058,2,7,39
103D5R,C496879,,MAPK (ERK1/2) signaling,KEGG:hsa_M00687,5.72e-07,0.00022,2,7,8
103D5R,C496879,,MAP kinase activation in TLR cascade,REACT:R-HSA-450294,9.35e-08,3.59e-05,3,7,64
103D5R,C496879,,MAPK signaling pathway,KEGG:hsa04010,3.38e-08,1.3e-05,4,7,255
103D5R,C496879,,MAPK targets/ Nuclear events mediated by MAP kinases,REACT:R-HSA-450282,1.01e-08,3.88e-06,3,7,31
103D5R,C496879,,Melanoma,KEGG:hsa05218,1.18e-07,4.51e-05,3,7,69
103D5R,C496879,,mTOR signaling pathway,KEGG:hsa04150,1.26e-06,0.000482,3,7,151
103D5R,C496879,,MyD88 cascade initiated on plasma membrane,REACT:R-HSA-975871,2.14e-07,8.2e-05,3,7,84
103D5R,C496879,,MyD88 dependent cascade initiated on endosome,REACT:R-HSA-975155,2.91e-07,0.000112,3,7,93
103D5R,C496879,,MyD88-independent TLR3/TLR4 cascade,REACT:R-HSA-166166,3.51e-07,0.000135,3,7,99
103D5R,C496879,,MyD88:Mal cascade initiated on plasma membrane,REACT:R-HSA-166058,3.1e-07,0.000119,3,7,95
103D5R,C496879,,Negative feedback regulation of MAPK pathway,REACT:R-HSA-5674499,3.06e-07,0.000118,2,7,6
103D5R,C496879,,Negative regulation of FGFR1 signaling,REACT:R-HSA-5654726,1.08e-05,0.00413,2,7,33
103D5R,C496879,,Negative regulation of FGFR2 signaling,REACT:R-HSA-5654727,1.14e-05,0.00439,2,7,34
103D5R,C496879,,Negative regulation of FGFR3 signaling,REACT:R-HSA-5654732,8.28e-06,0.00318,2,7,29
103D5R,C496879,,Negative regulation of FGFR4 signaling,REACT:R-HSA-5654733,9.48e-06,0.00364,2,7,31
103D5R,C496879,,Negative regulation of MAPK pathway,REACT:R-HSA-5675221,1.59e-05,0.0061,2,7,40
103D5R,C496879,,Negative regulation of the PI3K/AKT network,REACT:R-HSA-199418,3e-07,0.000115,3,7,94
103D5R,C496879,,Neurotrophin signaling pathway,KEGG:hsa04722,1.57e-09,6.03e-07,4,7,119
103D5R,C496879,,NGF signalling via TRKA from the plasma membrane,REACT:R-HSA-187037,2.11e-05,0.00808,3,7,387
103D5R,C496879,,NOD-like receptor signaling pathway,KEGG:hsa04621,1.79e-06,0.000688,3,7,170
103D5R,C496879,,Non-small cell lung cancer,KEGG:hsa05223,6.93e-08,2.66e-05,3,7,58
103D5R,C496879,,Nuclear Events (kinase and transcription factor activation),REACT:R-HSA-198725,6.12e-06,0.00235,2,7,25
103D5R,C496879,,Oncogene Induced Senescence,REACT:R-HSA-2559585,1.01e-05,0.00388,2,7,32
103D5R,C496879,,Osteoclast differentiation,KEGG:hsa04380,2.17e-09,8.35e-07,4,7,129
103D5R,C496879,,Oxidative Stress Induced Senescence,REACT:R-HSA-2559580,7.27e-07,0.000279,3,7,126
103D5R,C496879,,Pancreatic cancer,KEGG:hsa05212,1e-13,3.84e-11,5,7,64
103D5R,C496879,,Paradoxical activation of RAF signaling by kinase inactive BRAF,REACT:R-HSA-6802955,1.51e-05,0.0058,2,7,39
103D5R,C496879,,Pathways in cancer,KEGG:hsa05200,3.61e-15,1.39e-12,7,7,395
103D5R,C496879,,Pertussis,KEGG:hsa05133,1.58e-07,6.05e-05,3,7,76
103D5R,C496879,,Phospholipase D signaling pathway,KEGG:hsa04072,1.11e-06,0.000427,3,7,145
103D5R,C496879,,PI3K/AKT activation,REACT:R-HSA-198203,7.63e-07,0.000293,3,7,128
103D5R,C496879,,PI3K-Akt signaling pathway,KEGG:hsa04151,1.08e-07,4.15e-05,4,7,341
103D5R,C496879,,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",REACT:R-HSA-6811558,2.38e-07,9.12e-05,3,7,87
103D5R,C496879,,PIP3 activates AKT signaling,REACT:R-HSA-1257604,7.1e-07,0.000273,3,7,125
103D5R,C496879,,Platelet activation,KEGG:hsa04611,6.76e-07,0.00026,3,7,123
103D5R,C496879,,"Platelet activation, signaling and aggregation",REACT:R-HSA-76002,5.05e-08,1.94e-05,4,7,282
103D5R,C496879,,Platinum drug resistance,KEGG:hsa01524,1.39e-07,5.36e-05,3,7,73
103D5R,C496879,,Prion diseases,KEGG:hsa05020,1.21e-05,0.00466,2,7,35
103D5R,C496879,,Progesterone-mediated oocyte maturation,KEGG:hsa04914,6.57e-10,2.52e-07,4,7,96
103D5R,C496879,,Prolactin signaling pathway,KEGG:hsa04917,1.82e-10,6.97e-08,4,7,70
103D5R,C496879,,Prostate cancer,KEGG:hsa05215,2.38e-07,9.12e-05,3,7,87
103D5R,C496879,,Proteoglycans in cancer,KEGG:hsa05205,3.57e-11,1.37e-08,5,7,203
103D5R,C496879,,RAF-independent MAPK1/3 activation,REACT:R-HSA-112409,5.16e-06,0.00198,2,7,23
103D5R,C496879,,Rap1 signaling pathway,KEGG:hsa04015,1.55e-08,5.95e-06,4,7,210
103D5R,C496879,,Ras signaling pathway,KEGG:hsa04014,6.27e-11,2.41e-08,5,7,227
103D5R,C496879,,Regulation of gene expression by Hypoxia-inducible Factor,REACT:R-HSA-1234158,1.35e-06,0.000517,2,7,12
103D5R,C496879,,Renal cell carcinoma,KEGG:hsa05211,4.79e-17,1.84e-14,6,7,65
103D5R,C496879,,Retrograde endocannabinoid signaling,KEGG:hsa04723,3.73e-07,0.000143,3,7,101
103D5R,C496879,,RHO GTPases Activate WASPs and WAVEs,REACT:R-HSA-5663213,1.28e-05,0.00493,2,7,36
103D5R,C496879,,Role of LAT2/NTAL/LAB on calcium mobilization,REACT:R-HSA-2730905,9.36e-07,0.00036,3,7,137
103D5R,C496879,,Salmonella infection,KEGG:hsa05132,2.29e-07,8.81e-05,3,7,86
103D5R,C496879,,Shigellosis,KEGG:hsa05131,9.35e-08,3.59e-05,3,7,64
103D5R,C496879,,Signal attenuation,REACT:R-HSA-74749,9.19e-07,0.000353,2,7,10
103D5R,C496879,,Signaling by EGFR,REACT:R-HSA-177929,1.75e-05,0.00673,3,7,364
103D5R,C496879,,Signaling by FGFR1,REACT:R-HSA-5654736,2.49e-05,0.00958,2,7,50
103D5R,C496879,,Signaling by FGFR3,REACT:R-HSA-5654741,1.59e-05,0.0061,2,7,40
103D5R,C496879,,Signaling by FGFR4,REACT:R-HSA-5654743,1.67e-05,0.00641,2,7,41
103D5R,C496879,,Signaling by high-kinase activity BRAF mutants,REACT:R-HSA-6802948,1.21e-05,0.00466,2,7,35
103D5R,C496879,,Signaling by Insulin receptor,REACT:R-HSA-74752,1.22e-05,0.00467,3,7,322
103D5R,C496879,,Signaling by Interleukins,REACT:R-HSA-449147,4.33e-09,1.66e-06,5,7,528
103D5R,C496879,,Signaling by moderate kinase activity BRAF mutants,REACT:R-HSA-6802946,1.51e-05,0.0058,2,7,39
103D5R,C496879,,Signaling by PDGF,REACT:R-HSA-186797,1.93e-05,0.00742,3,7,376
103D5R,C496879,,Signaling by RAS mutants,REACT:R-HSA-6802949,2.49e-05,0.00958,2,7,50
103D5R,C496879,,Signaling by SCF-KIT,REACT:R-HSA-1433557,1.39e-05,0.00535,3,7,337
103D5R,C496879,,Signaling by the B Cell Receptor (BCR),REACT:R-HSA-983705,4.68e-06,0.0018,3,7,234
103D5R,C496879,,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),REACT:R-HSA-2404192,9.74e-06,0.00374,3,7,299
103D5R,C496879,,Signaling by VEGF,REACT:R-HSA-194138,1.04e-07,4.01e-05,4,7,338
103D5R,C496879,,Signaling pathways regulating pluripotency of stem cells,KEGG:hsa04550,9.78e-07,0.000376,3,7,139
103D5R,C496879,,Signalling by NGF,REACT:R-HSA-166520,4.13e-07,0.000159,4,7,477
103D5R,C496879,,Signal Transduction,REACT:R-HSA-162582,2.3e-07,8.84e-05,6,7,2590
103D5R,C496879,,Signal transduction by L1,REACT:R-HSA-445144,4.28e-06,0.00165,2,7,21
103D5R,C496879,,Sphingolipid signaling pathway,KEGG:hsa04071,1.52e-09,5.82e-07,4,7,118
103D5R,C496879,,Spry regulation of FGF signaling,REACT:R-HSA-1295596,2.45e-06,0.000941,2,7,16
103D5R,C496879,,T cell receptor signaling pathway,KEGG:hsa04660,3.96e-07,0.000152,3,7,103
103D5R,C496879,,Th17 cell differentiation,KEGG:hsa04659,1.02e-09,3.92e-07,4,7,107
103D5R,C496879,,Th1 and Th2 cell differentiation,KEGG:hsa04658,2.81e-07,0.000108,3,7,92
103D5R,C496879,,Thrombin signalling through proteinase activated receptors (PARs),REACT:R-HSA-456926,1.01e-05,0.00388,2,7,32
103D5R,C496879,,Thyroid cancer,KEGG:hsa05216,8.28e-06,0.00318,2,7,29
103D5R,C496879,,Thyroid hormone signaling pathway,KEGG:hsa04919,2.1e-12,8.07e-10,5,7,116
103D5R,C496879,,TNF signaling pathway,KEGG:hsa04668,1.06e-09,4.07e-07,4,7,108
103D5R,C496879,,Toll Like Receptor 10 (TLR10) Cascade,REACT:R-HSA-168142,2.14e-07,8.2e-05,3,7,84
103D5R,C496879,,Toll Like Receptor 2 (TLR2) Cascade,REACT:R-HSA-181438,3.1e-07,0.000119,3,7,95
103D5R,C496879,,Toll Like Receptor 3 (TLR3) Cascade,REACT:R-HSA-168164,3.51e-07,0.000135,3,7,99
103D5R,C496879,,Toll Like Receptor 4 (TLR4) Cascade,REACT:R-HSA-166016,7.27e-07,0.000279,3,7,126
103D5R,C496879,,Toll Like Receptor 5 (TLR5) Cascade,REACT:R-HSA-168176,2.14e-07,8.2e-05,3,7,84
103D5R,C496879,,Toll Like Receptor 7/8 (TLR7/8) Cascade,REACT:R-HSA-168181,2.91e-07,0.000112,3,7,93
103D5R,C496879,,Toll Like Receptor 9 (TLR9) Cascade,REACT:R-HSA-168138,3.3e-07,0.000127,3,7,97
103D5R,C496879,,Toll-Like Receptors Cascades,REACT:R-HSA-168898,1.31e-06,0.000501,3,7,153
103D5R,C496879,,Toll-like receptor signaling pathway,KEGG:hsa04620,9.09e-10,3.49e-07,4,7,104
103D5R,C496879,,Toll Like Receptor TLR1:TLR2 Cascade,REACT:R-HSA-168179,3.1e-07,0.000119,3,7,95
103D5R,C496879,,Toll Like Receptor TLR6:TLR2 Cascade,REACT:R-HSA-168188,3.1e-07,0.000119,3,7,95
103D5R,C496879,,Toxoplasmosis,KEGG:hsa05145,1.27e-09,4.89e-07,4,7,113
103D5R,C496879,,TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,REACT:R-HSA-975138,2.72e-07,0.000105,3,7,91
103D5R,C496879,,TRIF-mediated TLR3/TLR4 signaling,REACT:R-HSA-937061,3.51e-07,0.000135,3,7,99
103D5R,C496879,,Tuberculosis,KEGG:hsa05152,7.96e-09,3.06e-06,4,7,178
103D5R,C496879,,Type II diabetes mellitus,KEGG:hsa04930,3.41e-08,1.31e-05,3,7,46
103D5R,C496879,,VEGFA-VEGFR2 Pathway,REACT:R-HSA-4420097,9.48e-08,3.64e-05,4,7,330
103D5R,C496879,,VEGFR2 mediated cell proliferation,REACT:R-HSA-5218921,6.27e-06,0.00241,3,7,258
103D5R,C496879,,VEGF signaling pathway,KEGG:hsa04370,9.02e-11,3.46e-08,4,7,59
10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine,C553100,,Arrhythmogenic right ventricular cardiomyopathy (ARVC),KEGG:hsa05412,3.71e-05,0.00371,2,6,72
